A1955J99R36Q* C1999 09 11.40624 01 37 54.90 -27 04 27.5          15.1  aa6197704
A1955J99R36Q  C1999 09 11.42149 01 38 00.18 -27 03 59.6          15.1  aa6197704
A1955J99R36Q  C1999 09 11.43717 01 38 05.61 -27 03 30.2          15.3  aa6197704
A1955J99R36Q  C1999 09 11.45212 01 38 10.83 -27 03 01.1          15.4  aa6197704
A1955J99R36Q  C1999 09 11.46681 01 38 16.03 -27 02 32.4          15.2  aa6197704
A1955J99R36Q  C1999 09 12.01709 01 42 28.07 -26 45 22.0          14.1 V a6197595
A1955J99R36Q  C1999 09 12.01988 01 42 29.17 -26 45 16.7                 a6197595
A1955J99R36Q  C1999 09 12.02109 01 42 30.22 -26 45 10.2                za6197108
A1955J99R36Q  C1999 09 12.02154 01 42 29.64 -26 45 17.5          15.0 Rda6197046
A1955J99R36Q  C1999 09 12.02234 01 42 29.93 -26 45 15.6                da6197046
A1955J99R36Q  C1999 09 12.02234 01 42 31.04 -26 45 08.9                za6197108
A1955J99R36Q  C1999 09 12.02269 01 42 30.27 -26 45 11.4                 a6197595
A1955J99R36Q  C1999 09 12.02326 01 42 30.29 -26 45 13.5                da6197046
A1955J99R36Q  C1999 09 12.02455 01 42 30.82 -26 45 11.1                da6197046
A1955J99R36Q  C1999 09 12.02523 01 42 31.85 -26 45 05.4                za6197108
A1955J99R36Q  C1999 09 12.02536 01 42 31.16 -26 45 10.1                da6197046
A1955J99R36Q  C1999 09 12.02559 01 42 31.40 -26 45 05.5                 a6197595
A1955J99R36Q  C1999 09 12.02615 01 42 31.45 -26 45 08.2                da6197046
A1955J99R36Q  C1999 09 12.03192 01 42 34.50 -26 44 51.1          14.8 Vza6197108
A1955J99R36Q  C1999 09 12.08268 01 42 56.05 -26 43 02.3                za6197620
A1955J99R36Q  C1999 09 12.08877 01 42 58.37 -26 42 49.4                za6197620
A1955J99R36Q  C1999 09 12.09266 01 42 59.88 -26 42 42.0                za6197620
A1955J99R36Q  C1999 09 12.09709 01 43 01.66 -26 42 33.0                za6197620
A1955J99R36Q  C1999 09 12.39214 01 45 25.42 -26 31 47.2                ia6197670
A1955J99R36Q  C1999 09 12.40936 01 45 32.53 -26 31 10.9                ia6197670
A1955J99R36Q  C1999 09 12.42810 01 45 40.11 -26 30 29.6          14.7 Ria6197670
A1955J99R36Q  C1999 09 12.44483 01 45 46.87 -26 29 51.5                ia6197670
A1955J99R36Q  C1999 09 12.98193 01 50 27.75 -26 08 32.8          15.3  ca6197106
A1955J99R36Q  C1999 09 12.98586 01 50 32.31 -26 08 02.6                 a6197952
A1955J99R36Q  C1999 09 12.98690 01 50 32.83 -26 08 00.0                 a6197952
A1955J99R36Q  C1999 09 12.98854 01 50 33.59 -26 07 56.6                 a6197952
A1955J99R36Q  C1999 09 12.98970 01 50 34.12 -26 07 53.7                 a6197952
A1955J99R36Q  C1999 09 12.99405 01 50 36.19 -26 07 44.1                 a6197952
A1955J99R36Q  C1999 09 12.99627 01 50 37.21 -26 07 39.1                 a6197952
A1955J99R36Q  C1999 09 13.00171 01 50 36.99 -26 07 45.3          15.3  ca6197106
A1955J99R36Q  C1999 09 13.00328 01 50 37.24 -26 07 45.9          14.8 Rda6197046
A1955J99R36Q  C1999 09 13.00413 01 50 37.63 -26 07 43.8                da6197046
A1955J99R36Q  C1999 09 13.00485 01 50 37.97 -26 07 42.1                da6197046
A1955J99R36Q  C1999 09 13.00557 01 50 38.30 -26 07 40.4                da6197046
A1955J99R36Q  C1999 09 13.00625 01 50 38.62 -26 07 38.7                da6197046
A1955J99R36Q  C1999 09 13.03046 01 50 49.39 -26 06 39.0                ca6197118
A1955J99R36Q  C1999 09 13.03441 01 50 51.20 -26 06 28.8                ca6197118
A1955J99R36Q  C1999 09 13.03715 01 50 52.46 -26 06 22.0                ca6197118
A1955J99R36Q  C1999 09 13.34820 01 53 46.35 -25 51 58.1          15.1  aa6197704
A1955J99R36Q  C1999 09 13.35949 01 53 51.71 -25 51 27.7          15.4  aa6197704
A1955J99R36Q  C1999 09 13.37049 01 53 56.96 -25 50 58.2          15.5  aa6197704
A1955J99R36Q  C1999 09 13.37617 01 54 02.91 -25 50 54.9          15.3 R a6197848
A1955J99R36Q  C1999 09 13.37706 01 54 03.41 -25 50 51.8          15.1 R a6197848
A1955J99R36Q  C1999 09 13.37796 01 54 03.82 -25 50 49.6          14.6 R a6197848
A1955J99R36Q  C1999 09 13.37888 01 54 04.31 -25 50 47.0          14.6 R a6197848
A1955J99R36Q  C1999 09 13.37978 01 54 04.76 -25 50 45.3          14.3 R a6197848
